hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date_month_num,arrival_date,total_nights,total_guests,lead_time_bucket,estimated_revenue,revenue_at_risk,cancellation_status,has_deposit
Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,0.0,0,Contract,97.5,0,0,Check-Out,2015-07-05,7,2015-07-01,4,2.0,31-90 days,390.0,0.0,Not Canceled,No
Resort Hotel,0,12,2015,July,27,1,0,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,0.0,0,Transient,88.2,0,0,Check-Out,2015-07-02,7,2015-07-01,1,2.0,8-30 days,88.2,0.0,Not Canceled,No
Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0.0,110.0,0,Transient,107.42,0,0,Check-Out,2015-07-02,7,2015-07-01,1,2.0,0-7 days,107.42,0.0,Not Canceled,No
Resort Hotel,0,7,2015,July,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,0.0,0,Transient,153.0,0,1,Check-Out,2015-07-05,7,2015-07-01,4,2.0,0-7 days,612.0,0.0,Not Canceled,No
Resort Hotel,0,37,2015,July,27,1,1,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,0.0,0,Transient,97.29,0,1,Check-Out,2015-07-06,7,2015-07-01,5,1.0,31-90 days,486.45000000000005,0.0,Not Canceled,No
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,0.0,0,Transient,84.67,0,1,Check-Out,2015-07-07,7,2015-07-01,6,2.0,31-90 days,508.02,0.0,Not Canceled,No
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,0.0,0,Transient,99.67,0,1,Check-Out,2015-07-07,7,2015-07-01,6,2.0,31-90 days,598.02,0.0,Not Canceled,No
Resort Hotel,0,127,2015,July,27,1,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115.0,0.0,0,Contract,94.95,0,1,Check-Out,2015-07-01,7,2015-07-01,7,2.0,90+ days,664.65,0.0,Not Canceled,No
Resort Hotel,0,78,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,0.0,0,Transient,63.6,1,0,Check-Out,2015-07-08,7,2015-07-01,7,2.0,31-90 days,445.2,0.0,Not Canceled,No
Resort Hotel,0,48,2015,July,27,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0.0,0,Contract,79.5,0,0,Check-Out,2015-07-08,7,2015-07-01,7,2.0,31-90 days,556.5,0.0,Not Canceled,No
Resort Hotel,1,60,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,107.0,0,2,Canceled,2015-05-11,7,2015-07-01,7,2.0,31-90 days,749.0,749.0,Canceled,No
Resort Hotel,0,77,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,94.0,0,0,Check-Out,2015-07-08,7,2015-07-01,7,2.0,31-90 days,658.0,0.0,Not Canceled,No
Resort Hotel,0,99,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,87.3,1,1,Check-Out,2015-07-08,7,2015-07-01,7,2.0,90+ days,611.1,0.0,Not Canceled,No
Resort Hotel,0,118,2015,July,27,1,4,10,1,0.0,0,BB,Unknown,Direct,Direct,0,0,0,A,A,2,No Deposit,0.0,0.0,0,Transient,62.0,0,2,Check-Out,2015-07-15,7,2015-07-01,14,1.0,90+ days,868.0,0.0,Not Canceled,No
Resort Hotel,0,95,2015,July,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0.0,0,Transient,63.86,0,0,Check-Out,2015-07-16,7,2015-07-01,15,2.0,90+ days,957.9,0.0,Not Canceled,No
Resort Hotel,1,96,2015,July,27,1,2,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0.0,0.0,0,Transient,108.3,0,2,Canceled,2015-05-29,7,2015-07-01,10,2.0,90+ days,1083.0,1083.0,Canceled,No
Resort Hotel,0,69,2015,July,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175.0,0.0,0,Transient,65.5,0,0,Check-Out,2015-07-08,7,2015-07-02,6,2.0,31-90 days,393.0,0.0,Not Canceled,No
Resort Hotel,1,45,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0.0,0,Transient,108.8,0,1,Canceled,2015-05-19,7,2015-07-02,4,3.0,31-90 days,435.2,435.2,Canceled,No
Resort Hotel,1,40,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0.0,0,Transient,108.8,0,1,Canceled,2015-06-19,7,2015-07-02,4,3.0,31-90 days,435.2,435.2,Canceled,No
